"Month (2014)","Salary Date","Bonus Date"
January,"Fri 31/1/2014","Wed 19/2/2014"
February,"Fri 28/2/2014","Wed 19/3/2014"
March,"Mon 31/3/2014","Tue 15/4/2014"
April,"Wed 30/4/2014","Thu 15/5/2014"
May,"Fri 30/5/2014","Wed 18/6/2014"
June,"Mon 30/6/2014","Tue 15/7/2014"
July,"Thu 31/7/2014","Fri 15/8/2014"
August,"Fri 29/8/2014","Mon 15/9/2014"
September,"Tue 30/9/2014","Wed 15/10/2014"
October,"Fri 31/10/2014","Wed 19/11/2014"
November,"Fri 28/11/2014","Mon 15/12/2014"
December,"Wed 31/12/2014","Thu 15/1/2015"
